Date (YYYYMMDD), Description, Category, Value($), Balance (0) or Adjustment (1)
20221014, Balance, Balance, 0.0, 0
20221125, Balance, Balance, -4493.15, 0
20221226, Balance, Balance, -10978.0, 0
20230101, USA TRAVEL CENTER   KINGMAN             AZ, , -5.98, 1
20230101, USA TRAVEL CENTER   KINGMAN             AZ, , -85.78, 1
20230103, TST* DIABLO BURGER 0FLAGSTAFF           AZ, , -56.71, 1
20230104, BIFF'S BAGELS INC.  Flagstaff           AZ, , -16.01, 1
20230104, BT*OURARING INC.    SAN FRANCISCO       CA, , -6.55, 1
20230104, MEM RWDS AIRLINE TAX OFFSET FEE, , -19.8, 1
20230104, MIFAN CLAYPOT KITCHEPHOENIX             AZ, , -60.96, 1
20230105, DELTA AIR LINES, , -11.2, 1
20230105, DELTA AIR LINES     ATLANTA, , -30.0, 1
20230106, EDWARD GARVER       Flagstaff           AZ, , -70.0, 1
20230106, GEEKERY GAMES 739297FLAGSTAFF           AZ, , -111.35, 1
20230106, JIFFY LUBE          FLAGSTAFF           AZ, , -211.87, 1
20230106, SPORT CLIPS - AZ403 FLAGSTAFF           AZ, , -24.0, 1
20230107, OGDEN S CLEANERS 628FLAGSTAFF           AZ, , -17.16, 1
20230108, CVS PHARMACY        PHOENIX             AZ, , -12.5, 1
20230108, FILIBERTO'S - 19TH APHOENIX             AZ, , -11.94, 1
20230109, JACO'S PERDIDO 73929PENSACOLA           FL, , -38.76, 1
20230109, PUBLIX              PENSACOLA           FL, , -194.13, 1
20230110, NAVY EXCHANGE 060074PENSACOLA           FL, , -3.08, 1
20230110, NAVY EXCHANGE 060074PENSACOLA           FL, , -113.6, 1
20230110, PANDA EXPRESS #2225 PENSACOLA           FL, , -11.02, 1
20230110, PRICE BUSTERS MOVIESPENSACOLA           FL, , -34.8, 1
20230110, TBS COMICS 00-080302PENSACOLA           FL, , -64.5, 1
20230110, WAL-MART SUPERCENTERPENSACOLA           FL, , -57.43, 1
20230112, DELUNA LANES 0006   PENSACOLA           FL, , -30.94, 1
20230113, TBS COMICS 00-080302PENSACOLA           FL, , -48.91, 1
20230114, ARENA COMICS & GAMINPANAMA CITY         FL, , -8.95, 1
20230114, ARENA COMICS & GAMINPANAMA CITY         FL, , -36.23, 1
20230114, IN AND OUT 2        PANAMA CITY B       FL, , -50.0, 1
20230114, ROCK OUT CLIMBING GYDESTIN              FL, , -18.0, 1
20230114, TARGET              DESTIN              FL, , -41.24, 1
20230115, AUTOPAY PAYMENT - THANK YOU, , 10978.0, 1
20230115, PUBLIX              PENSACOLA           FL, , -83.22, 1
20230117, ASSOCIATED CREDIT SE800-962-9898        MA, , -118.55, 1
20230117, USPS PO 1174200008 0PENSACOLA           FL, , -7.46, 1
20230118, NAVY EXCHANGE 060074PENSACOLA           FL, , -7.0, 1
20230121, BEYT  LHAM  AND MOREPENSACOLA           FL, , -34.37, 1
20230121, CVS PHARMACY        PENSACOLA           FL, , -42.69, 1
20230121, RESTAURANT IRON     PENSACOLA           FL, , -158.15, 1
20230121, ROCK OUT CLIMBING GYDESTIN              FL, , -39.0, 1
20230122, CIRCLE K # 04392/CIRPENSACOLA           FL, , -57.42, 1
20230122, PUBLIX              PENSACOLA           FL, , -84.11, 1
20230124, CUMBERLAND FARMS 013PENSACOLA           FL, , -37.36, 1
20230124, HLU*HULU 23495814708HULU.COM/BILL       CA, , -19.4, 1
20230124, UBER, , -7.82, 1
20230125, NAVY EXCHANGE 060074PENSACOLA           FL, , -17.28, 1
20230126, BT*PIRATE SHIP * POSJACKSON             WY, , -3.9, 1
20230126, BT*PIRATE SHIP * POSJACKSON             WY, , -8.18, 1
20230126, Balance, Balance, -2898.56, 0
20230127, ARIZONA EL* (3 OF 6 PHOENIX             AZ, , -2201.73, 1
20230127, BURGER KING #25608 0PENSACOLA           FL, , -8.36, 1
20230127, FRIENDS OF ARIZONA PTEMPE               AZ, , -5.0, 1
20230127, TBS COMICS 00-080302PENSACOLA           FL, , -6.0, 1
20230127, TBS COMICS 00-080302PENSACOLA           FL, , -8.06, 1
20230128, TBS COMICS 00-080302PENSACOLA           FL, , -3.01, 1
20230129, PUBLIX              PENSACOLA           FL, , -134.19, 1
20230129, SMARTSTYLE 11615 000PENSACOLA           FL, , -29.87, 1
20230129, VALLARTAS MEXICAN REPENSACOLA           FL, , -22.54, 1
20230130, ROCK OUT CLIMBING GYDESTIN              FL, , -4.28, 1
20230130, ROCK OUT CLIMBING GYDESTIN              FL, , -18.0, 1
20230130, SOLO CAFFE          Pensacola           FL, , -8.49, 1
20230130, TOM THUMB #0023 9000FT WALTON BCH       FL, , -42.07, 1
20230131, CHICK-FIL-A #03072 0PENSACOLA           FL, , -8.0, 1
20230131, HUB STACEYS AT THE PPENSACOLA           FL, , -20.64, 1
20230131, MEM RWDS AIRLINE TAX OFFSET FEE, , -10.8, 1
20230202, DELTA AIR LINES, , -5.6, 1
20230202, RUNSIGNUP*2020DOUBLEMOORESTOWN          NJ, , -90.08, 1
20230203, CAMBRIDGEF* CAMBRIDGCAMBRIDGE           MA, , -148.69, 1
20230204, BODACIOUS BREW THRU PENSACOLA           FL, , -3.23, 1
20230204, BT*OURARING INC.    SAN FRANCISCO       CA, , -6.55, 1
20230204, TBS COMICS 00-080302PENSACOLA           FL, , -5.81, 1
20230204, TBS COMICS 00-080302PENSACOLA           FL, , -30.0, 1
20230204, TST* THE ARAGON CAFEPENSACOLA           FL, , -15.91, 1
20230205, TBS COMICS 00-080302PENSACOLA           FL, , -30.0, 1
20230205, UBER, , -6.92, 1
20230206, DOLLAR TREE 00000032PENSACOLA           FL, , -3.84, 1
20230206, MWR GOLF PRO  390127PENSACOLA           FL, , -7.0, 1
20230206, PERDIDOLICIOUS LLC  PENSACOLA           FL, , -15.35, 1
20230207, CVS PHARMACY        PENSACOLA           FL, , -26.23, 1
20230207, GAUTNEYS BBQ 0000   PENSACOLA           FL, , -12.85, 1
20230207, TBS COMICS 00-080302PENSACOLA           FL, , -32.25, 1
20230208, BT*PIRATE SHIP * POSJACKSON             WY, , -3.75, 1
20230208, BT*PIRATE SHIP * POSJACKSON             WY, , -4.13, 1
20230209, 3900 NORTH DAVIS HWYPENSACOLA           FL, , -53.39, 1
20230209, BLOSSOM FLOWER DELIVVAN NUYS            CA, , -121.47, 1
20230209, SONIC DRIVE IN #1244PENSACOLA           FL, , -12.13, 1
20230209, TBS COMICS 00-080302PENSACOLA           FL, , -34.0, 1
20230210, IN *M2 BISTRO & BBQ PENSACOLA           FL, , -16.54, 1
20230210, PERSONAL WEDDING WEBREDDING             CA, , -19.99, 1
20230210, PUBLIX              PENSACOLA           FL, , -122.38, 1
20230210, SP GEEKERY GAMES    FLAGSTAFF           AZ, , -210.0, 1
20230210, TBS COMICS 00-080302PENSACOLA           FL, , -20.0, 1
20230211, CIRCLE K 08351/CIRCLFT WALTON BEACH     FL, , -30.13, 1
20230211, ROCK OUT CLIMBING GYDESTIN              FL, , -4.28, 1
20230211, ROCK OUT CLIMBING GYDESTIN              FL, , -18.0, 1
20230212, THE FRESH MARKET 154PENSACOLA           FL, , -5.5, 1
20230213, ONLINE PAYMENT - THANK YOU, , 2898.56, 1
20230213, ROCK OUT CLIMBING GYDESTIN              FL, , -27.96, 1
20230213, SP ELAINE HSIEH CHOCSOMERVILLE          MA, , -57.04, 1
20230213, TBS COMICS 00-080302PENSACOLA           FL, , -43.0, 1
20230213, VICKS CLEANERS 21398PENSACOLA           FL, , -15.83, 1
20230215, BT*PIRATE SHIP * POSJACKSON             WY, , -8.56, 1
20230215, EXXONMOBIL 4831     PENSACOLA           FL, , -50.87, 1
20230216, COFFEE BY DESIGN    Portland            ME, , -3.85, 1
20230216, TST* SUGAR & SPICE -CAMBRIDGE           MA, , -27.77, 1
20230217, TARGET              SOMERVILLE          MA, , -234.53, 1
20230217, TST* REVIVAL CAFE - SOMERVILLE          MA, , -12.84, 1
20230218, BED BATH & BEYOND   SOMERVILLE          MA, , -26.56, 1
20230218, TARGET              EVERETT             MA, , -20.19, 1
20230218, TARGET              SOMERVILLE          MA, , -259.66, 1
20230218, THAI HUT            Cambridge           MA, , -16.0, 1
20230218, THE HOME DEPOT      EVERETT             MA, , -14.28, 1
20230218, THE HOME DEPOT      EVERETT             MA, , -15.91, 1
20230219, 287 PROSPECT ST 1284CAMBRIDGE           MA, , -48.82, 1
20230219, ASTOUND POWERED BY RWILKES-BARRE        PA, , -0.2, 1
20230219, COMCAST BOSTON CS 1X(800)266-2278       NH, , -25.0, 1
20230219, TARGET              SOMERVILLE          MA, , -8.88, 1
20230219, TARGET              SOMERVILLE          MA, , -61.21, 1
20230219, THE HOME DEPOT      SOMERVILLE          MA, , -6.66, 1
20230219, TST* BLOC 11 CAFE 00SOMERVILLE          MA, , -4.5, 1
20230220, GOODWILL SOMERVILLE SOMERVILLE          MA, , -12.7, 1
20230220, HOMEDEPOT.COM       800-430-3376        GA, , -29.8, 1
20230220, TRADER JOE S #517 00CAMBRIDGE           MA, , -139.96, 1
20230220, WHOLEFDS FPD 10026 0CAMBRIDGE           MA, , -58.2, 1
20230221, TST* WINGS OVER - SOSOMERVILLE          MA, , -20.8, 1
20230222, TARGET              SOMERVILLE          MA, , -191.74, 1
20230222, TRANSLIFELINE.ORG   SAN FRANCISCO       CA, , -21.0, 1
20230223, Balance, Balance, -5111.36, 0
20230224, HLU*HULU 23495814790HULU.COM/BILL       CA, , -19.4, 1
20230224, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -7.5, 1
20230225, ARIZONA EL* (4 OF 6 PHOENIX             AZ, , -2201.73, 1
20230225, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -25.0, 1
20230226, 1369 COFFEE HOUSE   Cambridge           MA, , -4.86, 1
20230226, PAR*LIFE ALIVE CAFE CAMBRIDGE           MA, , -15.93, 1
20230226, ZARUMA GOLD COFFEE SSOMERVILLE          MA, , -16.88, 1
20230227, FRIENDS OF ARIZONA PTEMPE               AZ, , -5.0, 1
20230227, GET-N-GO            SOMERVILLE          MA, , -16.77, 1
20230227, ZARUMA GOLD COFFEE SSOMERVILLE          MA, , -19.3, 1
20230228, PAPERSOURCE -4020 00CAMBRIDGE           MA, , -54.19, 1
20230301, TST* BLOC 11 CAFE 00SOMERVILLE          MA, , -20.3, 1
20230301, TST* REVIVAL CAFE - SOMERVILLE          MA, , -14.98, 1
20230302, SP GEEKERY GAMES    FLAGSTAFF           AZ, , -100.0, 1
20230302, WHOLE FOODS MARKET  SOMERVILLE          MA, , -56.69, 1
20230303, MIT LINC LAB A CAFE LEXINGTON           MA, , -3.09, 1
20230303, NEW WORLD GAS - WALTWALTHAM             MA, , -52.48, 1
20230303, TARGET              WATERTOWN           MA, , -54.45, 1
20230304, BT*OURARING INC.    SAN FRANCISCO       CA, , -6.55, 1
20230304, TST* 3 LITTLE FIGS 0SOMERVILLE          MA, , -41.27, 1
20230305, 786 US HIGHWAY 1 BYPPORTSMOUTH          NH, , -16.34, 1
20230305, AMAZON.COM          AMZN.COM/BILL       WA, , -30.07, 1
20230306, COFFEE BY DESIGN    Portland            ME, , -15.24, 1
20230306, PHYREXIAN LIFE GAMESSCARBOROUGH         ME, , -1.58, 1
20230306, PHYREXIAN LIFE GAMESSCARBOROUGH         ME, , -10.0, 1
20230306, PHYREXIAN LIFE GAMESSCARBOROUGH         ME, , -34.28, 1
20230306, THAI 9              SCARBOROUGH         ME, , -15.07, 1
20230306, TST* BLOC 11 CAFE 00SOMERVILLE          MA, , -21.16, 1
20230306, TST* OTTO PIZZA - 22PORTLAND            ME, , -5.23, 1
20230307, COFFEE BY DESIGN    Portland            ME, , -7.36, 1
20230307, COFFEE ME UP        Portland            ME, , -14.42, 1
20230307, TACO LOCO MEXICAN GRSOMERVILLE          MA, , -12.76, 1
20230308, TST* REVIVAL CAFE - SOMERVILLE          MA, , -12.93, 1
20230309, CHOW N JOY          Somerville          MA, , -16.42, 1
20230309, WHOLEFDS FPD 10026 0CAMBRIDGE           MA, , -115.02, 1
20230310, MIT LINC LAB A CAFE LEXINGTON           MA, , -15.15, 1
20230310, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -7.5, 1
20230310, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -18.0, 1
20230312, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , 18.0, 1
20230313, 123 CAMBRIDGE ST 128CHARLESTOWN         MA, , -44.61, 1
20230313, BT*PIRATE SHIP * POSJACKSON             WY, , -4.15, 1
20230313, BT*PIRATE SHIP * POSJACKSON             WY, , -4.44, 1
20230313, BT*PIRATE SHIP * POSJACKSON             WY, , -8.56, 1
20230313, LAZZARI 650000011355PORTLAND            ME, , -43.89, 1
20230313, PORTLAND FOOD CO-OP PORTLAND            ME, , -11.0, 1
20230313, TST* BLOC 11 CAFE 00SOMERVILLE          MA, , -39.45, 1
20230313, WWW.REDBUBBLE.COM   SAN FRANCISCO       CA, , -705.74, 1
20230314, TST* REVIVAL CAFE - SOMERVILLE          MA, , -4.0, 1
20230315, 287 PROSPECT ST 1284CAMBRIDGE           MA, , -43.64, 1
20230315, AMTRAK INT          WASHINGTON          DC, , -58.0, 1
20230315, AUTOPAY PAYMENT - THANK YOU, , 5093.36, 1
20230316, COFFEE ME UP        Portland            ME, , -19.04, 1
20230316, TST* HIFI DONUTS 300PORTLAND            ME, , -6.94, 1
20230316, WHOLEFDS PTL 10291 0PORTLAND            ME, , -73.42, 1
20230317, COFFEE BY DESIGN    Portland            ME, , -3.35, 1
20230317, HANNAFORD #8351     PORTLAND            ME, , -60.4, 1
20230317, KILLINGTON & PICO MOKillington          VT, , -563.62, 1
20230317, PEACE FOOD MARKET 01PORTLAND            ME, , -7.17, 1
20230318, COFFEE ME UP        Portland            ME, , -22.63, 1
20230318, HEIRLOOM CONSIGNMENTSOUTH PORTLAN       ME, , -58.29, 1
20230319, 87 WALKERS BROOK DR READING             MA, , -51.29, 1
20230319, Amazon Prime        Amazon.com          WA, , -16.37, 1
20230319, RI RA IRISH PUB     PORTLAND            ME, , -51.84, 1
20230320, CHIPOTLE ONLINE     NEWPORT BEACH       CA, , -26.03, 1
20230320, COFFEE BY DESIGN    Portland            ME, , -3.23, 1
20230320, SARKU JAPAN 062 0000SOUTH PORTLAN       ME, , -6.04, 1
20230320, STARBUCKS STORE 0743SOUTH PORTLAND      ME, , -4.02, 1
20230320, WHOLEFDS PTL 10291 0PORTLAND            ME, , -64.7, 1
20230321, ALPHA BETA UNLIMITED(208)938-4309       ID, , -218.92, 1
20230321, BT*PIRATE SHIP * POSJACKSON             WY, , -1.0, 1
20230321, BT*PIRATE SHIP * POSJACKSON             WY, , -3.58, 1
20230321, BT*PIRATE SHIP * POSJACKSON             WY, , -4.88, 1
20230321, BT*PIRATE SHIP * POSJACKSON             WY, , -7.52, 1
20230322, ARDUINO SA          LUGANO              ZH, , -3.0, 1
20230323, 287 PROSPECT ST 1284CAMBRIDGE           MA, , -55.47, 1
20230323, TST* FORGE BAKING COSOMERVILLE          MA, , -4.88, 1
20230323, TST* FORGE BAKING COSOMERVILLE          MA, , -56.02, 1
20230324, AIRBNB * HMJPE3489F SAN FRANCISCO       CA, , -155.49, 1
20230324, FARMHOUSE ROASTERS  Salem               NH, , -6.95, 1
20230324, FARMHOUSE ROASTERS  Salem               NH, , -13.2, 1
20230324, HLU*HULU 23495814790HULU.COM/BILL       CA, , -30.19, 1
20230324, ROOTS SKI AND BOARD KILLINGTON          VT, , -56.0, 1
20230324, TST* SUSHI YOSHI - KKILLINGTON          VT, , -57.63, 1
20230325, ARIZONA EL* (5 OF 6 PHOENIX             AZ, , -2201.73, 1
20230325, EVANS EXPRESS MART 0WHITE RIVER JUNCTIONVT, , -43.46, 1
20230325, SP PEAKDESIGN       SAN FRANCISCO       CA, , -201.82, 1
20230326, BT*FRAMEITEASY      DERBY               CT, , -114.13, 1
20230326, FRAMEBRIDGE         WASHINGTON          DC, , -292.19, 1
20230326, Balance, Balance, -8638.82, 0
20230327, E-ZPASS MA          877-627-7745        MA, , -40.0, 1
20230327, FRIENDS OF ARIZONA PTEMPE               AZ, , -5.0, 1
20230329, PY *SAVENORS MARKET CAMBRIDGE           MA, , -66.72, 1
20230329, SP CARD SHOP LIVE   HENDERSON           NV, , -249.48, 1
20230329, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -7.5, 1
20230329, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -40.0, 1
20230330, STARBUCKS IS 1555100LEXINGTON           MA, , -3.2, 1
20230331, MIT LINC LAB A CAFE LEXINGTON           MA, , -11.11, 1
20230331, PLAYA BOWLS - CAMBRICAMBRIDGE           MA, , -12.0, 1
20230331, TST* FORGE BAKING COSOMERVILLE          MA, , -11.22, 1
20230401, BT*USA TRIATHLON    COLORADO SPRINGS    CO, , -52.18, 1
20230401, "NEW RELIABLE MARKET SOMERVILLE          MA", , -32.96, 1
20230401, TST* JULIET- WASHINGSOMERVILLE          MA, , -64.2, 1
20230401, WHOLE FOODS MARKET  SOMERVILLE          MA, , -111.55, 1
20230402, 1369 COFFEE HOUSE   Cambridge           MA, , -4.86, 1
20230403, STARBUCKS IS 1555100LEXINGTON           MA, , -2.45, 1
20230403, SUNOCO 0352305700 03WOBURN              MA, , -52.29, 1
20230403, TST* CRISPY GAI 0001PORTLAND            ME, , -28.33, 1
20230403, WAGNER FLORAL DESIGNSOMERVILLE          MA, , -79.69, 1
20230404, BT*OURARING INC.    SAN FRANCISCO       CA, , -6.55, 1
20230404, COFFEE BY DESIGN    Portland            ME, , -3.85, 1
20230404, COFFEE ME UP        Portland            ME, , -18.2, 1
20230404, PHYREXIAN LIFE GAMESSCARBOROUGH         ME, , -25.0, 1
20230404, PHYREXIAN LIFE GAMESSCARBOROUGH         ME, , -79.11, 1
20230404, PORTLAND FOOD CO-OP PORTLAND            ME, , -14.94, 1
20230404, RECREATION.GOV 00000ALBUQUERQUE         NM, , -60.0, 1
20230404, STORE*KUNO          SAN FRANCISCO       CA, , -16.2, 1
20230405, 87 WALKERS BROOK DR READING             MA, , -48.73, 1
20230405, CIA CAFE            South Portland      ME, , -3.92, 1
20230405, COFFEE ME UP        Portland            ME, , -4.05, 1
20230405, COFFEE ME UP        Portland            ME, , -17.77, 1
20230405, HEIRLOOM CONSIGNMENTSOUTH PORTLAN       ME, , -589.96, 1
20230406, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -18.0, 1
20230407, MIT LINC LAB A CAFE LEXINGTON           MA, , -3.51, 1
20230407, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230408, Amazon Prime        Amazon.com          WA, , 16.37, 1
20230408, WHOLE FOODS MARKET  SOMERVILLE          MA, , -46.72, 1
20230410, APPLE CINEMAS - CAMBCAMBRIDGE           MA, , -11.0, 1
20230410, MASSDOT AET CSC, , -25.0, 1
20230411, MIT LINC LAB A CAFE LEXINGTON           MA, , -2.45, 1
20230411, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230411, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -35.0, 1
20230412, MIT LINC LAB A CAFE LEXINGTON           MA, , -8.05, 1
20230413, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230413, STARBUCKS IS 1555100LEXINGTON           MA, , -2.88, 1
20230413, TST* FELIPE'S TAQUERCAMBRIDGE           MA, , -38.06, 1
20230414, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230414, REI #222 CAMBRIDGE  CAMBRIDGE           MA, , -7.4, 1
20230414, SPEEDWAY            1-800-643-1949      OH, , -33.94, 1
20230414, TST* TATTE BAKERY 27CAMBRIDGE           MA, , -4.51, 1
20230414, TST* TATTE BAKERY 27CAMBRIDGE           MA, , -21.35, 1
20230414, WHOLE FOODS MARKET  SOMERVILLE          MA, , -73.43, 1
20230415, AUTOPAY PAYMENT - THANK YOU, , 8622.45, 1
20230415, STARBUCKS STORE 1371NORTH CONWAY        NH, , -2.88, 1
20230416, MCDONALD'S F35703 00PLYMOUTH            NH, , -24.8, 1
20230416, PLYMOUTH IRVING COMMPLYMOUTH            NH, , -2.69, 1
20230416, PLYMOUTH IRVING COMMPLYMOUTH            NH, , -45.05, 1
20230416, TST* BLOC 11 CAFE 00SOMERVILLE          MA, , -46.85, 1
20230417, 1012 CAFFE NERO ARLIARLINGTON           MA, , -11.82, 1
20230417, RECREATION.GOV 00000ALBUQUERQUE         NM, , -5.0, 1
20230418, WHOLE FOODS MARKET  SOMERVILLE          MA, , -104.59, 1
20230419, MARKET BASKET 000281SOMERVILLE          MA, , -32.55, 1
20230419, SP PANDEMONIUM BOOKSCAMBRIDGE           MA, , -18.0, 1
20230419, WHOLE FOODS MARKET  SOMERVILLE          MA, , -30.39, 1
20230420, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230420, STARBUCKS IS 1555100LEXINGTON           MA, , -2.88, 1
20230421, PAR*LIFE ALIVE CAFE CAMBRIDGE           MA, , -8.0, 1
20230423, MBTA CENTRAL 0000   CAMBRIDGE           MA, , -4.8, 1
20230424, HLU*HULU 23495814750HULU.COM/BILL       CA, , -30.19, 1
20230424, PROPAY*VacayAZ LLC 34805901655          AZ, , -2422.8, 1
20230424, WHOLE FOODS MARKET  SOMERVILLE          MA, , -45.95, 1
20230425, ARIZONA EL* (6 OF 6 PHOENIX             AZ, , -2201.74, 1
20230425, BT*PIRATE SHIP * POSJACKSON             WY, , -3.75, 1
20230425, BT*PIRATE SHIP * POSJACKSON             WY, , -4.15, 1
20230425, BT*PIRATE SHIP * POSJACKSON             WY, , -9.53, 1
20230425, HULU                SANTA MONICA, , 20.0, 1
20230425, MIT LINC LAB A CAFE LEXINGTON           MA, , -9.93, 1
20230425, TST* FORGE BAKING COSOMERVILLE          MA, , -25.0, 1
20230425, Balance, Balance, -7187.46, 0
20230426, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230426, STAPLES 01715       SOMERVILLE          MA, , -37.17, 1
20230426, TST* CAFE ZING 00000CAMBRIDGE           MA, , -3.39, 1
20230426, WHOLE FOODS MARKET  SOMERVILLE          MA, , -54.63, 1
20230427, FRIENDS OF ARIZONA PTEMPE               AZ, , -5.0, 1
20230428, BT*FRAMEITEASY      DERBY               CT, , -63.88, 1
20230428, CHIPOTLE 0870 0000  MEDFORD             MA, , -10.17, 1
20230428, MIT LINC LAB A CAFE LEXINGTON           MA, , -6.67, 1
20230428, SPEEDWAY            1-800-643-1949      OH, , -58.62, 1
20230429, COFFEE ME UP        Portland            ME, , -10.26, 1
20230429, COFFEE ME UP        Portland            ME, , -24.28, 1
20230429, SALT PUMP CLIMBING  SCARBOROUGH         ME, , -18.0, 1
20230429, UNCOMMON PAWS - PORTPortland            ME, , -78.96, 1
20230430, COFFEE ME UP        Portland            ME, , -28.14, 1
20230430, WHOLE FOODS MARKET  SOMERVILLE          MA, , -85.11, 1
20230501, MARKET BASKET 000281SOMERVILLE          MA, , -27.35, 1
20230501, STARBUCKS IS 1555100LEXINGTON           MA, , -2.88, 1
20230502, MIT LINC LAB A CAFE LEXINGTON           MA, , -4.96, 1
20230503, TST* FORGE BAKING COSOMERVILLE          MA, , -13.84, 1
20230504, BT*OURARING INC.    SAN FRANCISCO       CA, , -6.55, 1
20230504, MAGICCOMN* MAGIC 202NORWALK             CT, , -125.0, 1
20230505, BOS HUDSON NEWS ST19BOSTON              MA, , -4.99, 1
20230505, EMERY               Minneapolis         MN, , -4.83, 1
20230505, EMERY               Minneapolis         MN, , -19.26, 1
20230505, MAGICCOMN* MAGIC 202NORWALK             CT, , -125.0, 1
20230505, MIT LINC LAB A CAFE LEXINGTON           MA, , -7.09, 1
20230505, UBER, , -10.1, 1
20230506, BT*PIRATE SHIP * POSJACKSON             WY, , -3.01, 1
